numOrder;customer;tarif;ip_address;gateway;netmask;subnet;broadcast;vlan_id;customer_port;termination_point
2144;УГАДН по Самарской области;Скорость-20480;46.29.77.231;46.29.77.225;255.255.255.240;46.29.77.224/28;46.29.77.239;2;EC 10.30.13.74 - port 1;cisco 10.30.0.10
;Тестовая сеть;;46.29.72.46;46.29.72.45;255.255.255.252;46.29.72.44/30;46.29.72.47;6;;cisco 10.30.0.240
23;Реммаш-Сервис;Скорость-1024;46.29.73.10;46.29.73.9;255.255.255.252;141.0.183.48/28;46.29.73.11;11;EC 10.30.11.194 - port 1;Cisco 3750 10.30.0.4 port 3g
25;"ООО ""Далмэкс Трейд""";Скорость-1536;46.29.73.14;46.29.73.13;255.255.255.252;46.29.73.12/30;46.29.73.15;14;EC 10.30.11.194 - port 4;Cisco 3750 10.30.0.4 port 3g
;IPTV-сервер;;;;;Без сети;;15;;
2804;ООО ЕвроКом;Скорость-4096;46.29.73.150;46.29.73.149;255.255.255.252;46.29.73.148/30;46.29.73.151;17;EC 10.30.11.194 - port 7;Cisco 3750 10.30.0.4 port 3g
58;"ООО ""ОргТехСервис""";Скорость-1024;46.29.73.46;46.29.73.45;255.255.255.252;46.29.73.44/30;46.29.73.47;18;EC 10.30.11.194 - port 8;Cisco 3750 10.30.0.4 port 3g
34;"ООО ""Дольче Вита""";Скорость-2048;46.29.76.178;46.29.76.177;255.255.255.252;46.29.76.176/30;46.29.76.179;19;EC 10.30.11.203 - port 1;Cisco 3750 10.30.0.4 port 3g
34;"ООО ""Дольче Вита""";Скорость-512;46.29.76.182;46.29.76.181;255.255.255.252;46.29.76.180/30;46.29.76.183;19;EC 10.30.11.203 - port 15;Cisco 3750 10.30.0.4 port 3g
239;"ООО ""Адверс""";Скорость-6144;46.29.75.198;46.29.75.197;255.255.255.252;46.29.75.196/30;46.29.75.199;24;EC 10.30.11.211 - port 9;Cisco 3750 10.30.0.8 port 21
2185;ООО Аврора (быв.Мониторинг Самара);Скорость-6144;46.29.74.42;46.29.74.41;255.255.255.248;46.29.74.42/32;46.29.74.47;27;EC 10.30.13.25 - port 2;Cisco 3750 10.30.0.4 port 12
2185;ООО Аврора (быв.Мониторинг Самара);Скорость-6144;46.29.74.44;46.29.74.41;255.255.255.248;46.29.74.44/32;46.29.74.47;27;EC 10.30.13.25 - port 1;Cisco 3750 10.30.0.4 port 12
103;"ЗАО ""Банк Русский Стандарт""";Фактический Ultra;46.29.76.134;46.29.76.133;255.255.255.252;46.29.76.132/30;46.29.76.135;32;EC 10.30.11.194 - port 40;Cisco 3750 10.30.0.4 port 3g
57;Инициатива;Скорость-1024;46.29.73.42;46.29.73.41;255.255.255.252;46.29.73.40/30;46.29.73.43;33;EC 10.30.11.194 - port 14;Cisco 3750 10.30.0.4 port 3g
;Свободен (был OSPF между 0.4 и 0.35);;;;;46.29.72.90/30;;35;;
;OSPF между 0.118 и 0.235;;;;;46.29.72.112/30;;38;;
;Максимов Константин;Безлимит;46.29.73.58;46.29.73.57;255.255.255.252;46.29.73.56/30;46.29.73.59;39;EC 10.30.0.250 - port 3;Eltex 10.30.0.195
62;"ООО ""ПланетаСтрой""";Скорость-2048;46.29.73.62;46.29.73.61;255.255.255.252;46.29.73.60/30;46.29.73.63;41;EC 10.31.11.203 - port 5;Cisco 3750 10.30.0.4 port 3g
;Тест BGP;;46.29.72.117;46.29.72.118;;46.29.72.116/30;46.29.72.119;42;;
;OSPF;;;;;46.29.72.52/30;;45;;
;OSPF между 0.195 и 0.8;;;;;46.29.72.56/30;;47;;
3076;Сервисная компания;Скорость - 8М;46.29.73.186;46.29.73.185;255.255.255.252;46.29.73.160/30;46.29.73.163;48;EC 10.30.14.79 - port 1;cisco 10.30.0.121
2683;ООО КонсультантПлюс Самара;Скорость-4096;46.29.73.66;46.29.73.65;255.255.255.252;46.29.73.64/30;46.29.73.67;49;EC 10.30.11.194 - port 15;Eltex 10.30.0.195
1259;"ООО ""Грузсервис"" (был ООО Грузпром), проблемы с сеткой";Скорость-1024;46.29.73.134;46.29.73.133;255.255.255.252;46.29.73.132/30;46.29.73.135;53;EC 10.31.11.202 - port 6;Cisco 3750 10.30.0.4 port 12
3053;ОАО АГК;Скорость-7М;46.29.73.218;46.29.73.217;255.255.255.252;46.29.73.216/30;46.29.73.219;54;EC 10.31.13.25 - port 4;Eltex 10.30.0.195
1986;ООО АН От и До;Скорость-1024;46.29.73.74;46.29.73.73;255.255.255.252;46.29.73.72/30;46.29.73.75;55;EC 10.30.14.127 - port 1;Cisco 3750 10.30.0.4 port 12
85;"ООО ""РОСТА""";Скорость-512;46.29.73.86;46.29.73.85;255.255.255.252;46.29.73.84/30;46.29.73.87;57;EC 10.31.11.203 - port 8;Cisco 3750 10.30.0.4 port 3g
89;ИП Яндуков С.С.;Скорость-1024;46.29.73.90;46.29.73.89;255.255.255.252;46.29.73.88/30;46.29.73.91;58;EC 10.31.11.203 - port 7;Cisco 3750 10.30.0.4 port 3g
;OSPF between 0.121 and 0.240;;46.29.75.221;46.29.75.222;255.255.255.252;46.29.75.220/30;46.29.75.223;60;cisco 10.30.0.121;cisco 10.30.0.240
;OSPF between 0.27 and 0.235;;;;;46.29.72.92/30;;61;;
545;"ООО ""Рекламное агентство ""Радио Мегаполис""";Скорость-5120;46.29.73.102;46.29.73.101;255.255.255.252;46.29.73.100/30;46.29.73.103;64;EC 10.30.11.209 - port 19;Cisco 3750 10.30.0.4 port 11
438;"Филиал ЗАО  ""Поволжский Страховой Альянс""";Скорость-10240;46.29.73.34;46.29.73.33;255.255.255.252;46.29.78.32/27;46.29.73.35;71;EC 10.30.11.204 - port 12;Cisco 3750 10.30.0.8 port 23
140;"ООО ""ВСП""";Скорость-5120;46.29.76.138;46.29.76.137;255.255.255.252;46.29.76.136/30;46.29.76.139;72;EC 10.30.11.212 - port 4;Cisco 3750 10.30.0.8 port 19
100;ООО АС-Бизнес;Скорость-2048;46.29.73.122;46.29.73.121;255.255.255.252;46.29.73.120/30;46.29.73.123;73;EC 10.30.11.93 - port 4;Cisco 3750 10.30.0.4 port 3g
106;ИП Силаева Н.И.;Скорость-512;46.29.76.122;46.29.76.121;255.255.255.252;46.29.76.120/30;46.29.76.123;76;EC 10.30.11.203 - port 10;Cisco 3750 10.30.0.4 port 3g
;Канал от Жигулей для туннелей;;;;;;;77;;
32;ИП Антипов Виктор Николаевич;Скорость-1024;46.29.76.94;46.29.76.93;255.255.255.252;46.29.76.92/30;46.29.76.95;79;EC 10.30.11.194 - port 19;Cisco 3750 10.30.0.4 port 3g
281;"ООО ""Антико-Трейд""";Скорость-1024;46.29.76.30;46.29.76.29;255.255.255.252;46.29.78.0/27;46.29.76.31;83;EdgeCORE (10.30.0.227) - port 2;Cisco 3750 10.30.0.2
111;"ООО ""ПРАНАФАРМ""";VIP-4 (5-20);46.29.73.142;46.29.73.141;255.255.255.252;46.29.73.140/30;46.29.73.143;86;EC 10.30.11.211 - port 4;Cisco 3750 10.30.0.8 port 21
103;"ЗАО ""Банк Русский Стандарт"" (Аврора 150)";Скорость-256;46.29.76.130;46.29.76.129;255.255.255.252;46.29.76.128/30;46.29.76.131;91;EC 10.30.11.210 - port 1;Eltex 10.30.0.195
